valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,artists_song
0.285,2000,0.00239,Coldplay,0.429,266773,0.6609999999999999,0,3AJwUDP919kvQ9QcozQPxg,0.000121,11,0.234,-7.227,1,Yellow,84,0.0281,173.372,Coldplay - Yellow
0.613,2000,0.143,OutKast,0.843,270507,0.8059999999999999,1,0I3q5fE6wg7LIfHGngUTnV,0.0,4,0.0771,-5.9460000000000015,0,Ms. Jackson,80,0.269,94.948,OutKast - Ms. Jackson
0.4,2000,0.00958,Linkin Park,0.556,216880,0.8640000000000001,0,60a0Rd6pjrkxjPbaKzXjfq,0.0,3,0.209,-5.87,0,In the End,84,0.0584,105.143,Linkin Park - In the End
0.5429999999999999,2000,0.00664,3 Doors Down,0.545,233933,0.865,0,6ZOBP3NvffbU4SZcrnt1k6,1.1e-05,11,0.168,-5.7079999999999975,0,Kryptonite,78,0.0286,99.009,3 Doors Down - Kryptonite
0.76,2000,0.0302,Eminem,0.949,284200,0.6609999999999999,1,3yfqSUWxFvZELEM4PmlwIR,0.0,5,0.0454,-4.244,0,The Real Slim Shady,80,0.0572,104.504,Eminem - The Real Slim Shady
0.941,2000,0.000996,Disturbed,0.695,279213,0.8759999999999999,1,40rvBMQizxkIqnjPdEWY1v,6.89e-06,3,0.106,-4.262,0,Down with the Sickness,76,0.0553,89.954,Disturbed - Down with the Sickness
0.722,2000,0.0616,Nelly,0.85,291782,0.7,1,3Gf5nttwcX9aaSQXRWidEZ,1.8e-06,7,0.244,-6.49,1,Ride Wit Me,74,0.0478,101.875,Nelly - Ride Wit Me
0.507,2000,0.0371,Eminem,0.78,404107,0.768,1,3UmaczJpikHgJFyBTAJVoz,2.34e-06,6,0.518,-4.325,0,Stan,78,0.238,80.063,Eminem - Stan
0.861,2000,0.031,*NSYNC,0.61,200400,0.926,0,62bOmKYxYg7dhrC6gH9vFn,0.0012,8,0.0821,-4.843,0,Bye Bye Bye,71,0.0479,172.638,*NSYNC - Bye Bye Bye
0.894,2000,0.3,Britney Spears,0.7509999999999999,211160,0.8340000000000001,0,6naxalmIoLFWR0siv8dnQQ,1.77e-05,1,0.355,-5.444,0,Oops!...I Did It Again,78,0.0437,95.053,Britney Spears - Oops!...I Did It Again
0.165,2000,0.748,Coldplay,0.371,227093,0.268,0,7D0RhFcb3CrfPuTJ0obrod,0.0517,1,0.104,-10.505999999999998,1,Sparks,73,0.0281,102.617,Coldplay - Sparks
0.5379999999999999,2000,0.0014,Linkin Park,0.4920000000000001,157333,0.969,0,3K4HG9evC7dg3N0R9cYqk4,1.32e-06,9,0.0787,-4.419,1,One Step Closer,76,0.0491,95.136,Linkin Park - One Step Closer
0.654,2000,0.0561,Shaggy,0.853,227600,0.606,0,3WkibOpDF7cQ5xntM1epyf,0.0,0,0.313,-4.596,1,It Wasn't Me,76,0.0713,94.759,Shaggy - It Wasn't Me
0.565,2000,0.00689,Nelly,0.865,287000,0.664,1,3wMUvT6eIw2L5cZFG1yH9j,0.0,2,0.142,-6.822,1,Country Grammar (Hot Shit),70,0.108,162.83100000000005,Nelly - Country Grammar (Hot Shit)
