,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Play My Music,THE BEGINNING,Jonas Brothers,2020-10-02,197506,55,0.000653,0.473,0.867,0.0,0.212,-3.529,0.0838,177.963,4
1,What If (I Told You I Like You),What If (I Told You I Like You),Johnny Orlando,2018-05-18,219186,74,0.189,0.735,0.584,0.0,0.125,-5.047,0.14,93.016,4
2,Eu Bem Que Te Avisei - Tu Empurrou Ele Pei,Eu Bem Que Te Avisei - Tu Empurrou Ele Pei,Mc Delux,2022-02-28,158769,66,0.411,0.955,0.659,0.00731,0.148,-3.531,0.382,129.962,4
3,Part of Me,I Was / I Am,Noah Kahan,2021-09-17,239027,58,0.0677,0.689,0.687,0.0,0.0805,-7.832,0.0376,109.986,4
4,MONTERO (Call Me By Your Name),MONTERO,Lil Nas X,2021-09-17,137704,85,0.293,0.593,0.503,0.0,0.405,-6.725,0.22,178.781,4
5,Let Her Go,All the Little Lights (Deluxe),Passenger,2013-11-29,252733,72,0.359,0.445,0.541,0.0,0.109,-7.36,0.0736,76.289,4
6,Não foi por mal,"Acorda, Pedrinho",Jovem Dionisio,2022-03-24,135910,48,0.394,0.637,0.54,0.000366,0.142,-9.966,0.324,91.441,4
7,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,2021-04-23,191013,86,0.0215,0.65,0.825,2.44e-05,0.0936,-4.645,0.0325,118.091,4
8,Flashbacks,Flashbacks,Zach Hood,2021-01-08,183000,66,0.879,0.55,0.448,0.0,0.0734,-7.382,0.0314,99.713,4
9,Somebody,Honeymoon Phase,OSKA,2021-01-08,189268,37,0.798,0.908,0.366,2.03e-05,0.107,-9.98,0.0992,123.038,4
10,Bang!,OK ORCHESTRA,AJR,2021-03-26,170880,61,0.0153,0.736,0.526,0.0,0.0628,-6.462,0.0566,139.84,4
11,As It Was,As It Was,Harry Styles,2022-03-31,167303,100,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,4
12,Heat Waves (with iann dior),Dreamland (+ Bonus Levels),Glass Animals,2021-09-09,175301,72,0.476,0.655,0.716,0.0,0.479,-5.077,0.0897,80.813,4
13,Pontos de Exclamação,Pontos de Exclamação,Jovem Dionisio,2020-03-06,181000,66,0.763,0.724,0.332,0.00106,0.0605,-10.92,0.0661,118.036,4
14,679 (feat. Remy Boyz),679 (feat. Remy Boyz),Fetty Wap,2015-06-29,196693,75,0.00256,0.618,0.717,0.0,0.625,-5.738,0.318,190.05,4
15,Best Friend,Best Friend,Rex Orange County,2017-01-25,262231,78,0.395,0.575,0.714,0.0,0.115,-5.247,0.0596,144.982,4
